neighborhood,rent_price,latitude,longitude
Buckhead Heights,2240,33.8496303,-84.35749109999999
Lenox,2240,33.847694,-84.360777
Ansley Park,2200,33.794558,-84.3790372
Ardmore,2200,33.8048477,-84.39756709999999
Brookwood Hills,2200,33.8098175,-84.3844304
Collier Hills North,2200,33.8098671,-84.4008508
Colonial,2200,33.8378902,-84.3798024
Piedmont Park,2200,33.7879265,-84.37216819999999
Sherwood Forest,2200,33.8000166,-84.3831166
Midtown Atlanta,2180,33.783315,-84.3831166
Arden - Habersham,2162,33.8383598,-84.400194
Argonne Forest,2162,33.8413802,-84.4054477
Buckhead Forest,2162,33.84563139999999,-84.376547
Buckhead Village,2162,33.839282,-84.37457599999999
Garden Hills,2162,33.832816,-84.3778787
Peachtree Battle Alliance,2162,33.8229966,-84.3988806
Peachtree Heights East,2162,33.8263949,-84.3818027
Peachtree Heights West,2162,33.836317,-84.3877851
Peachtree Hills,2162,33.8180468,-84.3818027
Peachtree Park,2162,33.8402463,-84.3667193
South Tuxedo Park,2162,33.8461097,-84.387058
Wyngate,2162,33.832676,-84.39756709999999
Atkins Park,2135,33.7755235,-84.34960400000001
Virginia Highland,2135,33.7817345,-84.3635127
Virginia Park Townhomes,2135,33.7764084,-84.3471478
Kingswood,2121,33.8556469,-84.4133272
Woodfield,2121,33.8228067,-84.4100442
Downtown Atlanta,2107,33.755711,-84.3883717
Castleberry Hill,2077,33.7492851,-84.400194
Atlantic Station,2070,33.7912543,-84.3987406
Atlanta Memorial Park,2043,33.8195028,-84.4102711
Brookwood,2043,33.8026052,-84.39298269999999
Loring Heights,2043,33.7961596,-84.403318
Poncey - Highland,2041,33.7695296,-84.35551939999999
Southwest Druid Hills,2041,33.7803832,-84.3360359
Virgilee Park,2041,33.7746932,-84.34286639999999
Old Fourth Ward,2000,33.7639588,-84.3719735
Memorial Park,1989,33.82225950000001,-84.4133272
Springlake,1989,33.813792,-84.4107008
Candler Park,1957,33.7648643,-84.341752
Inman Park,1957,33.7598271,-84.3578289
Lake Claire,1957,33.76396860000001,-84.3252791
Lions Gate,1957,33.774744,-84.33835189999999
Little Five Points,1957,33.7643869,-84.34960400000001
Lullwater,1957,33.7746161,-84.3347603
Avallon,1930,33.6951623,-84.5201119
Brandon,1930,33.8287331,-84.41912529999999
Castlewood,1930,33.8348406,-84.4146403
Cross Creek,1930,33.8171685,-84.4238316
Glen Errol,1930,33.9069506,-84.3972319
Heritage Oaks,1930,33.748752,-84.38768449999999
Margaret Mitchell,1930,33.8357889,-84.4356468
Moores Mill - Northside Pkwy Triangle,1930,33.8399924,-84.4163251
Mount Paran Parkway,1930,33.8760799,-84.4192362
Mount Vernon,1930,33.9202242,-84.3901931
Mt. Paran Northside,1930,33.8701303,-84.42678339999999
North Island Estates,1930,33.8917756,-84.414657
Paces,1930,33.8453536,-84.4478864
Pleasant Hill,1930,33.8573051,-84.438637
Powers Lake,1930,33.9025727,-84.4139132
Randall Mill,1930,33.8561218,-84.4238316
Riley Place,1930,33.911361,-84.412037
Tiller Walk Estates,1930,33.748752,-84.38768449999999
West Paces Ferry,1930,33.8477294,-84.4194164
West Peachtree Battle,1930,33.8258724,-84.4317087
Westminster - Milmar,1930,33.8377404,-84.4248885
Whitewater Creek,1930,33.8718256,-84.4385755
Tuxedo Park,1921,33.8508195,-84.3988806
Home Park,1909,33.7861948,-84.4018964
Aberdeen Forest,1897,33.9209563,-84.3629203
Amberidge,1897,33.9334638,-84.4008259
Autumn Chace,1897,33.9225088,-84.3507455
Brandon Mill Woods,1897,33.9452651,-84.3869541
Breakwater,1897,33.9404798,-84.3978972
Cameron Glen,1897,33.9153083,-84.4294561
Dunwoody Springs,1897,33.9234258,-84.3542619
Foxcroft,1897,33.8547513,-84.4173822
