neighborhood,rent_price
Buckhead Heights,2240
Lenox,2240
Ansley Park,2200
Ardmore,2200
Brookwood Hills,2200
Collier Hills North,2200
Colonial,2200
Piedmont Park,2200
Sherwood Forest,2200
Midtown Atlanta,2180
Arden - Habersham,2162
Argonne Forest,2162
Buckhead Forest,2162
Buckhead Village,2162
Garden Hills,2162
Peachtree Battle Alliance,2162
Peachtree Heights East,2162
Peachtree Heights West,2162
Peachtree Hills,2162
Peachtree Park,2162
South Tuxedo Park,2162
Wyngate,2162
Atkins Park,2135
Virginia Highland,2135
Virginia Park Townhomes,2135
Kingswood,2121
Woodfield,2121
Downtown Atlanta,2107
Castleberry Hill,2077
Atlantic Station,2070
Atlanta Memorial Park,2043
Brookwood,2043
Loring Heights,2043
Poncey - Highland,2041
Southwest Druid Hills,2041
Virgilee Park,2041
Old Fourth Ward,2000
Memorial Park,1989
Springlake,1989
Candler Park,1957
Inman Park,1957
Lake Claire,1957
Lions Gate,1957
Little Five Points,1957
Lullwater,1957
Avallon,1930
Brandon,1930
Castlewood,1930
Cross Creek,1930
Glen Errol,1930
Heritage Oaks,1930
Margaret Mitchell,1930
Moores Mill - Northside Pkwy Triangle,1930
Mount Paran Parkway,1930
Mount Vernon,1930
Mt. Paran Northside,1930
North Island Estates,1930
Paces,1930
Pleasant Hill,1930
Powers Lake,1930
Randall Mill,1930
Riley Place,1930
Tiller Walk Estates,1930
West Paces Ferry,1930
West Peachtree Battle,1930
Westminster - Milmar,1930
Whitewater Creek,1930
Tuxedo Park,1921
Home Park,1909
Aberdeen Forest,1897
Amberidge,1897
Autumn Chace,1897
Brandon Mill Woods,1897
Breakwater,1897
Cameron Glen,1897
Dunwoody Springs,1897
Foxcroft,1897
Gates at Glenridge,1897
Glenview,1897
Goldstream,1897
Greater Branches,1897
Hammond Hills,1897
Heards Forest,1897
Lost Forest,1897
Mount Vernon Woods,1897
Mountaire,1897
North Harbor,1897
North Riverside,1897
North Springs,1897
Ridgemere,1897
River Chase,1897
River Springs Forest,1897
Rivershore Estates,1897
Riverside,1897
Seville Chase,1897
Spalding Woods,1897
Sunny Brook Meadows,1897
The Park at Trowbridge,1897
Westfair,1897
Whispering Pines,1897
Winterthur,1897
Wyncourtney,1897
Wyndham Hills,1897
Hanover West,1897
North Bolton,1897
Almond Park,1893
Bellwood Quarry,1893
Berkeley  Park,1893
Blandtown,1893
Bolton,1893
Bolton Hills,1893
Carey Park,1893
Carver Hills,1893
Channing Valley,1893
Collier Heights,1893
Collier Hills,1893
Defoors Cross,1893
Dupont Commons,1893
Frernleaf,1893
Harvel Homes Community,1893
Hills Park,1893
Jackson Trace,1893
Knight Park - Howell Station,1893
Liberty Park,1893
Lincoln Homes,1893
Monroe Heights,1893
Ridgewood Heights,1893
Riverside,1893
Rockdale,1893
Scotts Crossing,1893
Underwood Hills,1893
Vinnings on the Chattahochee,1893
Watts Road,1893
