OBJECTID_1,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Name of geographic unit,"# Renter-occupied housing units, 2020","# Renter-occupied housing units, 2020 (MOE)","# Gross rent less than $500, 2020","# Gross rent less than $500, 2020 (MOE)","% Gross rent less than $500, 2020","% Gross rent less than $500, 2020 (MOE)","# Gross rent $500 to $999, 2020","# Gross rent $500 to $999, 2020 (MOE)","% Gross rent $500 to $999, 2020","% Gross rent $500 to $999, 2020 (MOE)","# Gross rent $1,000 to $1,499, 2020","# Gross rent $1,000 to $1,499, 2020 (MOE)","% Gross rent $1,000 to $1,499, 2020","% Gross rent $1,000 to $1,499, 2020 (MOE)","# Gross rent $1,500 to $1,999, 2020","# Gross rent $1,500 to $1,999, 2020 (MOE)","% Gross rent $1,500 to $1,999, 2020","% Gross rent $1,500 to $1,999, 2020 (MOE)","# Gross rent $2,000 to $2,499, 2020","# Gross rent $2,000 to $2,499, 2020 (MOE)","% Gross rent $2,000 to $2,499, 2020","% Gross rent $2,000 to $2,499, 2020 (MOE)","# Gross rent $2,500 to $2,999, 2020","# Gross rent $2,500 to $2,999, 2020 (MOE)","% Gross rent $2,500 to $2,999, 2020","% Gross rent $2,500 to $2,999, 2020 (MOE)","# Gross rent $3,000 or more, 2020","# Gross rent $3,000 or more, 2020 (MOE)","% Gross rent $3,000 or more, 2020","% Gross rent $3,000 or more, 2020 (MOE)","# Gross rent less than $200, 2020","# Gross rent less than $200, 2020 (MOE)","% Gross rent less than $200, 2020","% Gross rent less than $200, 2020 (MOE)","# Gross rent $200 to $499, 2020","# Gross rent $200 to $499, 2020 (MOE)","% Gross rent $200 to $499, 2020","% Gross rent $200 to $499, 2020 (MOE)","# Gross rent $500 to $749, 2020","# Gross rent $500 to $749, 2020 (MOE)","% Gross rent $500 to $749, 2020","% Gross rent $500 to $749, 2020 (MOE)","# Gross rent $750 to $999, 2020","# Gross rent $750 to $999, 2020 (MOE)","% Gross rent $750 to $999, 2020","% Gross rent $750 to $999, 2020 (MOE)","# Gross rent $1,000 to $1,499, 2020","# Gross rent $1,000 to $1,499, 2020 (MOE)","% Gross rent $1,000 to $1,499, 2020","% Gross rent $1,000 to $1,499, 2020 (MOE)","# Gross rent $1,500 to $1,999, 2020","# Gross rent $1,500 to $1,999, 2020 (MOE)","% Gross rent $1,500 to $1,999, 2020","% Gross rent $1,500 to $1,999, 2020 (MOE)","# Gross rent $2,000 or more, 2020","# Gross rent $2,000 or more, 2020 (MOE)","% Gross rent $2,000 or more, 2020","% Gross rent $2,000 or more, 2020 (MOE)","# Gross rent less than $750, 2020","# Gross rent less than $750, 2020 (MOE)","% Gross rent less than $750, 2020","% Gross rent less than $750, 2020 (MOE)","# Gross rent $1,000 or more, 2020","# Gross rent $1,000 or more, 2020 (MOE)","% Gross rent $1,000 or more, 2020","% Gross rent $1,000 or more, 2020 (MOE)",Shape__Area,Shape__Length
1,Northwest Georgia,No,30165,3954,ZCTA,2020 ZCTA 30165,6038.8286,571.49697,777.43392,246.207,13.1,4,3710.5446,560.20107,62.5,7.3,1322.1951,308.79829,22.3,4.7,80.770421,73.805579,1.4,1.2,16.998545,50.298447,0.3,0.8,0,49.552897,0,0.8,24.985717,73.899165,0.4,1.2,204.70098,126.4562,3.5,2.1,572.73294,211.25037,9.7,3.4,1731.5998,427.21541,29.2,6.6,1978.9448,362.37031,33.4,5.2,1322.1951,308.79829,22.3,4.7,80.770421,73.805579,1.4,1.2,41.984262,102.20817,0.7,1.7,2509.0337,493.08305,42.3,7.3,1419.9641,321.45541,23.9,4.9,4768309159.88354,654548.266792733
2,Atlanta Regional Commission,Yes,30058,3889,ZCTA,2020 ZCTA 30058,8618.6551,854.7389,262.21868,211.45583,3.1,2.5,1913.1144,460.18326,22.8,5,5220.7435,818.06146,62.2,7.4,989.12226,282.02125,11.8,3.1,14.187209,63.256602,0.2,0.8,0,58.73775,0,0.7,0,83.067723,0,1,51.159729,116.04015,0.6,1.4,211.05895,176.77175,2.5,2.1,515.60141,236.89598,6.1,2.8,1397.513,394.52367,16.6,4.4,5220.7435,818.06146,62.2,7.4,989.12226,282.02125,11.8,3.1,14.187209,119.79886,0.2,1.4,777.82009,317.54255,9.3,3.7,6224.0529,867.61854,74.1,7.1,867128949.443604,185979.210994256
3,Atlanta Regional Commission,Yes,30083,3905,ZCTA,2020 ZCTA 30083,11084.253,832.33627,509.84007,232.51033,4.6,2.1,4024.1801,596.88833,36.7,4.7,5774.063,757.29396,52.6,5.6,598.19544,180.55337,5.4,1.6,70.478652,79.253166,0.6,0.7,0,56.853918,0,0.5,0.96467447,80.77378,0,0.7,120.86734,126.77161,1.1,1.2,388.97273,194.91027,3.5,1.8,700.17875,307.13082,6.4,2.8,3324.0014,511.80694,30.3,4.1,5774.063,757.29396,52.6,5.6,598.19544,180.55337,5.4,1.6,71.443327,126.64058,0.7,1.2,1210.0188,385.21474,11,3.4,6442.7371,782.54375,58.7,5.6,516551319.265137,207527.154232957
4,Atlanta Regional Commission,Yes,30084,3906,ZCTA,2020 ZCTA 30084,5193.7919,551.291,138.78062,189.66478,2.7,3.7,1061.6871,298.76446,21,5.4,2621.7713,451.76263,51.7,6.9,953.06514,335.75786,18.8,6.3,266.6167,210.17973,5.3,4.1,0.33140257,48.201498,0,1,24.710567,76.465655,0.5,1.5,3.1578032,84.852747,0.1,1.7,135.62281,169.6253,2.7,3.3,153.63759,161.65941,3,3.2,908.04953,251.24975,17.9,4.6,2621.7713,451.76263,51.7,6.9,953.06514,335.75786,18.8,6.3,291.65867,228.79227,5.8,4.5,292.4182,249.21174,5.8,4.9,3841.4532,600.83137,75.8,8.5,417797335.510498,165684.785086149
5,Atlanta Regional Commission,Yes,30087,3907,ZCTA,2020 ZCTA 30087,3243.9906,493.49611,3.422519,138.68898,0.1,4.4,444.9672,217.91185,14.2,6.6,1877.3634,450.49869,59.8,10.9,643.70157,248.44739,20.5,7.2,95.776722,85.931053,3.1,2.7,0,46.256386,0,1.5,72.035324,91.502126,2.3,2.9,3.422519,79.979456,0.1,2.5,0,113.30454,0,3.6,57.524973,125.32097,1.8,4,387.44223,178.2701,12.3,5.3,1877.3634,450.49869,59.8,10.9,643.70157,248.44739,20.5,7.2,167.81205,133.77757,5.3,4.2,60.947492,186.92239,1.9,6,2616.8417,521.59306,83.4,10.3,644467142.480957,229993.170492318
6,ARC / NW,Yes,30157,3952,ZCTA,2020 ZCTA 30157,3763.6493,547.34501,153.94209,208.94949,4.2,5.7,736.085,284.9201,20.1,7.2,1994.5524,456.34881,54.4,9.5,733.10702,235.50721,20,5.7,46.288945,74.98778,1.3,2,0.6152584,52.529022,0,1.4,0,74.324515,0,2,88.212116,134.60785,2.4,3.7,65.72997,159.81432,1.8,4.4,307.86347,219.61037,8.4,5.9,428.22153,181.52342,11.7,4.6,1994.5524,456.34881,54.4,9.5,733.10702,235.50721,20,5.7,46.904204,117.92624,1.3,3.2,461.80555,303.13133,12.6,8.1,2773.9483,518.98078,75.7,8.6,2386859311.94385,442334.152386237
7,Three Rivers,Partial,30170,3956,ZCTA,2020 ZCTA 30170,233.96262,106.76333,36.036007,56.638946,18.3,27.3,117.88674,82.710168,59.8,29.9,30.694689,35.518548,15.6,16.3,12.678035,33.970317,6.4,16.9,0,12.47346,0,6.3,0,12.47346,0,6.3,0,17.640136,0,8.9,0,21.604666,0,11,36.036007,52.356553,18.3,25,59.171789,57.888003,30,25.4,58.714948,59.075807,29.8,26.1,30.694689,35.518548,15.6,16.3,12.678035,33.970317,6.4,16.9,0,24.946919,0,12.6,95.207796,80.987598,48.3,33.5,43.372724,50.706379,22,23.3,1265832326.88452,256248.074179792
8,Northwest Georgia,No,30173,3958,ZCTA,2020 ZCTA 30173,594.92605,200.37621,42.363242,83.015393,8.7,16.7,333.3158,172.9971,68.3,24.1,105.19861,97.927026,21.5,18.3,0.4300276,19.805904,0.1,4.1,1.0511786,20.97748,0.2,4.3,5.976603,21.355442,1.2,4.3,0,28.30673,0,5.8,0,34.668522,0,7.1,42.363242,75.429763,8.7,15.1,215.49445,137.34376,44.1,22.6,117.82135,105.18882,24.1,19.5,105.19861,97.927026,21.5,18.3,0.4300276,19.805904,0.1,4.1,7.0277816,41.199278,1.4,8.4,257.85769,160.48322,52.8,26,106.67981,102.08835,21.8,19.2,977973552.487793,205997.231436071
9,Three Rivers,No,30222,3982,ZCTA,2020 ZCTA 30222,556.89655,169.46656,169.65432,99.753312,39.4,18.8,210.11459,111.32721,48.8,19.8,51.069265,55.640195,11.9,12.3,0,18.424789,0,4.3,0,18.424789,0,4.3,0,18.424789,0,4.3,0,26.056586,0,6,16.700229,38.58831,3.9,8.9,152.95409,91.987312,35.5,17.6,125.07238,92.835402,29,19.1,85.042209,61.443762,19.7,12.6,51.069265,55.640195,11.9,12.3,0,18.424789,0,4.3,0,36.849577,0,8.6,294.7267,136.26861,68.4,21.3,51.069265,61.439214,11.9,13.7,4223452171.073,546585.319469383
10,Three Rivers,Yes,30277,4013,ZCTA,2020 ZCTA 30277,764.38329,231.41974,0,103.30061,0,14.8,371.142,208.67953,53.2,24.3,172.42935,111.04755,24.7,13.7,121.82829,101.39334,17.5,13.4,24.478541,47.689318,3.5,6.7,7.8119397,35.107549,1.1,5,0,48.696373,0,7,0,59.640634,0,8.5,0,84.344593,0,12.1,90.478282,105.71037,13,14.5,280.66372,179.92349,40.2,22.2,172.42935,111.04755,24.7,13.7,121.82829,101.39334,17.5,13.4,32.290481,76.66908,4.6,10.9,90.478282,147.8029,13,20.8,318.73618,157.75437,45.7,16.9,1290403843.88452,313303.490470565
